"age","rel_status","gender","gender_text","sex","transgender","transgender_text","masc_feel","fem_feel","masc_present","fem_present","gender_transition","hormones","hormones_text","surgeries","surgeries_text","sex_orient","sex_orient_text","rom_orient","rom_orient_text","sex_orient_best","sex_orient_best_text","asexual","bisexual","demisexual","gay","hetero","lesbian","omnisexual","pansexual","queer","other_sexuality","other_sexuality_text","rom_orient_best","rom_orient_best_text","arom","birom","demirom","heterorom","homorom","omnirom","panrom","other_rom","other_rom_text","sexual_role","race_asian","race_black","race_hispanic","race_nativeam","race_mideast","race_white","race_na","rel_protestant","rel_catholic","rel_mormon","rel_jeworthodox","rel_jewconserve","rel_jewreform","rel_muslim","rel_buddhist","rel_hindu","rel_athiest","rel_agnostic","rel_spirit","rel_na","height_feet","height_inches","education","pol_orient","pol_party","sex_with_males","sex_with_females","sexatt_ident_woman","sexatt_ident_man","sexatt_ident_nonbinary","sexatt_pres_feminine","sexatt_pres_masculine","sexatt_pres_neither","sexatt_pres_both","sexatt_sex_female","sexatt_sex_male","sexatt_sex_intersex","romatt_ident_woman","romatt_ident_man","romatt_ident_nonbinary","romatt_pres_feminine","romatt_pres_masculine","romatt_pres_neither","romatt_pres_both","romatt_sex_female","romatt_sex_male","romatt_sex_intersex","jealous_imagined_1","jealous_imagined_2","jealous_imagined_3","jealous_imagined_4","soi_partnernum","soi_oneocc","soi_short_interest","soi_nolove","soi_casualsex","soi_longterm","soi_fantasies_extrapair","soi_arousal","soi_fantasies_stranger","variety_partnum_5yrs","variety_partnum_1yr","variety_partnum_month","sex_5yrs","sex_2yrs","sex_1yr","sex_6months","sex_3months","sex_1month","sex_1week","sex_1day","sex_1evening","sex_1hour","m_lt_check","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","f_lt_check","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","f_st_check","f_st_health1","f_st_health2","f_st_intell1","f_st_intell2","f_st_kind1","f_st_kind2","f_st_physatt1","f_st_physatt2","f_st_resources1","f_st_resources2","f_st_age","m_st_check","m_st_health1","m_st_health2","m_st_intell1","m_st_intell2","m_st_kind1","m_st_kind2","m_st_physatt1","m_st_physatt2","m_st_resources1","m_st_resources2","m_st_age","PIN","bisexualLT","bisexualST","fltprop","fstprop","mltprop","mstprop","matingprop","prefNaCheck","NAcheck","soi_comp","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","f_st_health","f_st_intell","f_st_kind","f_st_physatt","f_st_resources","m_st_health","m_st_intell","m_st_kind","m_st_physatt","m_st_resources","jealousy_comp","ssp_lt_health","ssp_lt_kind","ssp_lt_intell","ssp_lt_resources","ssp_lt_physatt","ssp_lt_age","ssp_st_health","ssp_st_kind","ssp_st_intell","ssp_st_resources","ssp_st_physatt","ssp_st_age","osp_lt_health","osp_lt_kind","osp_lt_intell","osp_lt_resources","osp_lt_physatt","osp_lt_age","osp_st_health","osp_st_kind","osp_st_intell","osp_st_resources","osp_st_physatt","osp_st_age","partnum_pca","sex_time_pca1","sex_time_pca2"
30,4,"1","","1",1,"",5,3,6,2,NA,NA,"",NA,"",1,"",1,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,2,8,6,2,1,1,2,3,2,2,3,1,2,2,3,2,2,3,2,2,3,1,2,1,3,2,0,0,0,0,2,2,4,8,5,2,2,2,2,10,3,1,7,7,7,7,7,6,5,4,6,3,1,6,5,7,6,5,7,6,8,6,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,5,5,5,6,8,8,5,4,2,1,5,5,5,5,5,6,8,8,5,5,2,"q392",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,3.22222222222222,5.5,6.5,6,7,5.5,NA,NA,NA,NA,NA,5.5,5,5.5,8,4.5,5,5,5.5,8,5,0,5.5,6,6.5,5.5,7,2,5,5.5,5,5,8,2,NA,NA,NA,NA,NA,NA,5.5,5.5,5,4.5,8,2,0.100735790068437,0.706936259343601,0.712009208358664
57,4,"1","","1",1,"",5,4,4,3,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,4,4,1,1,3,1,2,2,1,1,1,3,2,2,3,1,2,3,1,2,1,3,1,2,0,0,1,0,1,2,2,1,3,4,7,4,7,0,0,0,5,5,5,5,5,4,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,6,6,7,7,7,6,6,6,2,1,6,6,6,6,6,7,6,6,6,6,2,1,6,6,6,6,6,6,5,5,5,5,1,"q770",0,1,0,0,NA,0,0,0.25,0.0743243243243243,3.44444444444444,NA,NA,NA,NA,NA,6.5,6,7,6.5,6,6,6,6.5,6,6,6,6,6,5,5,1,NA,NA,NA,NA,NA,NA,6,6,6,5,5,1,6.5,7,6,6,6.5,2,6,6.5,6,6,6,2,-0.973075166180957,-0.207383220135582,-0.455602424442265
31,4,"1","","1",1,"",6,1,6,2,NA,NA,"",NA,"",2,"",2,"",1,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"",1,"",NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,1,7,6,2,2,1,3,2,2,3,2,1,3,3,2,2,3,2,1,3,2,1,3,3,2,1,0,0,1,0,2,1,1,9,3,8,8,2,1,1,1,1,7,7,7,7,7,7,5,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,7,6,7,7,6,7,7,2,1,5,6,5,5,7,6,8,8,4,5,1,1,5,5,5,5,5,8,6,5,5,5,2,"q381",0,1,0,0,NA,0,0,0.25,0.0743243243243243,3.88888888888889,NA,NA,NA,NA,NA,5,6.5,6.5,6.5,7,5.5,5,6.5,8,4.5,5,5,6.5,5.5,5,1,NA,NA,NA,NA,NA,NA,5,6.5,5,5,5.5,2,5,6.5,6.5,7,6.5,2,5.5,6.5,5,4.5,8,1,-0.455820735760407,-0.110655177391483,1.06000896055714
41,4,"1","","1",1,"",5,3,7,1,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,72,7,6,1,1,1,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,0,0,0,0,5,6,2,8,9,9,7,6,6,12,4,1,7,7,6,6,5,5,4,3,3,3,1,6,6,9,8,6,9,8,8,8,9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,8,9,6,7,7,7,7,8,6,3,1,10,7,6,9,7,5,7,9,8,7,2,"q817",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,6.44444444444444,6,8.5,7.5,8,8.5,NA,NA,NA,NA,NA,7,7.5,7,7,7,8.5,7.5,6,8,7.5,0,6,7.5,8.5,8.5,8,2,8.5,6,7.5,7.5,8,2,NA,NA,NA,NA,NA,NA,7,7,7.5,7,7,3,0.299543047376458,0.0337157044067362,0.410358714850012
68,4,"1","","1",1,"",5,3,7,1,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,11,3,7,2,1,1,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,1,6,7,9,9,9,8,4,2,25,5,2,7,7,7,7,7,6,5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,5,2,1,2,0,2,1,1,2,2,2,2,5,2,1,1,0,3,3,1,0,1,1,6,6,5,"q648",0,1,0,0,NA,0,0,0.25,0.0743243243243243,6.11111111111111,NA,NA,NA,NA,NA,1.5,2,2,2,3.5,1,1.5,1.5,2,3.5,0.5,3,0.5,1,6,1,NA,NA,NA,NA,NA,NA,0.5,0.5,3,6,1,5,1.5,2,2,3.5,2,2,1,1.5,1.5,3.5,2,2,1.19825830470773,-0.397165132629389,1.09713551676235
26,1,"1","","0",2,"",7,2,6,1,2,4,"Testosterone cypionate",5,"",2,"",2,"",3,"",NA,NA,1,1,NA,NA,NA,NA,NA,1,"Autosexual",2,"",NA,NA,1,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,4,5,7,4,1,1,2,3,1,1,3,1,2,1,3,2,1,3,1,2,2,1,2,1,3,2,0,0,0,1,8,9,9,4,9,5,2,2,2,6,4,1,7,7,7,6,6,5,4,2,2,2,1,8,8,7,8,6,10,10,10,8,7,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,8,10,7,8,10,10,7,5,3,1,7,6,7,7,10,10,10,10,10,6,4,"q188",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,5.55555555555556,8,7.5,8,10,7.5,NA,NA,NA,NA,NA,7.5,9,7.5,10,6,6.5,7,10,10,8,1,NA,NA,NA,NA,NA,NA,7.5,7.5,9,6,10,3,8,8,7.5,7.5,10,3,6.5,10,7,8,10,4,0.108812633921097,-0.283775623627177,0.764418082628533
47,1,"1","","1",1,"",6,5,6,7,NA,NA,"",NA,"",1,"",1,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",6,"",NA,NA,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,3,7,2,2,2,2,1,1,2,1,1,2,2,2,3,2,2,1,1,1,2,2,1,1,2,0,0,1,1,2,6,3,7,7,4,4,4,4,1,1,1,2,2,3,2,3,2,3,2,3,3,1,5,4,5,5,4,5,5,5,4,4,3,1,5,4,5,5,5,4,5,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q562",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,4.55555555555556,4.5,5,4.5,5,4,4.5,5,4.5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.5,4.5,5,4,5,3,NA,NA,NA,NA,NA,NA,4.5,4.5,5,5,5,5,NA,NA,NA,NA,NA,NA,-0.455820735760407,0.161539441609747,-2.43812897303297
34,0,"1","","1",1,"",3,5,5,3,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,7,3,4,2,2,1,3,1,3,3,1,1,1,3,2,2,2,2,2,3,1,1,1,3,3,3,0,0,0,0,2,2,1,5,3,5,8,2,1,2,1,1,7,7,7,5,5,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,5,5,6,6,6,5,5,4,1,6,10,6,10,5,6,6,6,5,5,4,1,10,10,10,6,10,10,8,10,10,10,2,"q704",0,1,0,0,NA,0,0,0.25,0.0743243243243243,3.22222222222222,NA,NA,NA,NA,NA,6,5.5,5.5,6,5,8,8,5.5,6,5,10,8,10,9,10,0,NA,NA,NA,NA,NA,NA,10,10,8,10,9,2,6,5.5,5.5,5,6,4,8,5.5,8,5,6,4,-0.424032333517847,-1.15587171207391,0.612124623011228
20,0,"1","","1",1,"",5,5,6,6,NA,NA,"",NA,"",1,"",1,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,3,3,5,1,1,1,3,1,2,3,3,3,1,1,1,1,3,1,1,3,2,3,2,1,2,0,1,1,1,6,3,5,6,2,8,4,2,3,5,2,1,2,3,2,2,3,3,2,3,4,4,1,10,6,8,9,4,6,3,7,5,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,3,8,10,10,10,4,4,7,1,1,10,4,10,8,5,7,10,6,10,4,1,"q320",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.33333333333333,8,8.5,5,5,6.5,NA,NA,NA,NA,NA,10,5.5,10,7,5.5,7,9,6,8,7,3,8,5,8.5,6.5,5,1,7,6,9,7,8,1,NA,NA,NA,NA,NA,NA,10,10,5.5,5.5,7,1,-0.193436673967265,0.450726940115929,-2.50886190908402
32,2,"1","","1",1,"",6,3,5,3,NA,NA,"",NA,"",1,"",1,"",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,NA,NA,NA,1,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,6,3,2,2,2,1,3,2,2,3,1,2,1,3,2,1,3,2,2,3,1,2,1,3,2,0,0,0,0,4,1,3,4,1,1,2,1,2,3,1,0,6,5,4,3,3,2,1,1,1,1,1,7,6,7,6,10,7,7,7,7,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,6,6,7,6,7,7,7,2,1,5,5,5,8,6,6,6,6,8,7,2,"q359",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,2.11111111111111,6.5,6.5,8.5,7,7.5,NA,NA,NA,NA,NA,5,6,6.5,6.5,7,5,6.5,6,6,7.5,0,6.5,8.5,6.5,7.5,7,2,5,6,6.5,7.5,6,2,NA,NA,NA,NA,NA,NA,5,6.5,6,7,6.5,2,-0.742479506630375,-1.01204556533829,-0.765102241344103
55,0,"1","","1",1,"",5,4,6,2,NA,NA,"",NA,"",2,"",2,"",1,"",NA,NA,NA,NA,1,NA,NA,NA,1,NA,"",1,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,6,2,1,1,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,2,2,3,2,3,0,0,0,0,2,4,5,8,8,8,9,7,4,2,5,1,7,7,7,7,6,6,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,6,8,10,10,10,8,10,7,7,2,1,10,5,5,10,10,10,5,7,5,10,2,1,10,10,5,10,10,10,5,5,5,10,4,"q554",0,1,0,0,NA,0,0,0.25,0.0743243243243243,6.11111111111111,NA,NA,NA,NA,NA,8,9,10,9,7,7.5,7.5,10,6,7.5,10,7.5,10,5,7.5,0,NA,NA,NA,NA,NA,NA,10,10,7.5,7.5,5,4,8,10,9,7,9,2,7.5,10,7.5,7.5,6,2,0.116889477773757,-0.807342179704124,1.03952309229083
51,4,"1","","1",1,"",6,2,7,1,NA,NA,"",NA,"",2,"",0,"",1,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,10,7,4,5,1,1,3,2,1,2,2,1,2,2,2,1,3,1,1,3,1,1,2,2,2,1,0,0,0,0,2,8,4,1,9,9,4,5,5,1,1,1,7,7,7,7,7,7,7,7,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,5,5,5,5,7,7,5,5,5,1,7,7,7,5,5,5,7,7,5,5,5,1,9,7,7,7,5,7,8,7,5,5,5,"q737",0,1,0,0,NA,0,0,0.25,0.0743243243243243,5.22222222222222,NA,NA,NA,NA,NA,7,5,5,7,5,7,6,5,7,5,8,7,6,7.5,5,0,NA,NA,NA,NA,NA,NA,8,6,7,5,7.5,5,7,5,5,5,7,5,7,5,6,5,7,5,-0.455820735760407,1.61937798336267,0.508312836474277
60,0,"1","","1",1,"",6,4,4,4,NA,NA,"",NA,"",2,"",1,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,9,4,6,2,1,1,3,1,2,3,1,2,2,3,1,2,3,1,2,3,1,2,2,3,1,2,0,0,0,0,4,4,4,9,9,9,8,8,8,5,3,1,4,5,6,5,5,6,7,7,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,9,10,9,9,9,10,9,9,9,5,1,7,8,9,9,10,9,9,9,9,3,5,1,9,5,9,9,9,10,10,8,5,5,5,"q760",0,1,0,0,NA,0,0,0.25,0.0743243243243243,7,NA,NA,NA,NA,NA,9.5,9.5,9,9.5,9,7.5,9,9.5,9,6,7,9,9.5,9,5,0,NA,NA,NA,NA,NA,NA,7,9.5,9,5,9,5,9.5,9,9.5,9,9.5,5,7.5,9.5,9,6,9,5,-0.0582062211443641,1.53978406569956,-0.821501207379542
31,2,"1","","1",1,"",5,6,6,7,NA,NA,"",NA,"",1,"",2,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,1,NA,NA,NA,"",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,11,3,4,5,1,2,2,3,2,2,3,2,2,2,3,3,3,3,2,2,3,1,2,2,3,2,0,0,0,0,6,4,9,8,9,8,2,7,8,3,2,1,7,7,7,7,5,4,4,4,4,4,1,7,7,8,8,8,9,8,8,8,8,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,5,3,8,9,9,8,7,8,2,1,6,6,8,8,8,0,7,6,6,8,3,"q435",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,6.77777777777778,7,8,8.5,8,8,NA,NA,NA,NA,NA,8,4,8.5,8.5,7.5,6,8,4,6.5,7,0,7,8.5,8,8,8,3,6,4,8,7,6.5,3,NA,NA,NA,NA,NA,NA,8,8.5,4,7.5,8.5,2,-0.257013478452385,0.279412389514144,0.53682791431942
31,0,"1","","1",1,"",5,5,5,4,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,6,3,2,1,1,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,3,2,2,2,0,0,0,0,1,3,3,5,7,1,2,2,2,3,2,0,5,5,4,3,2,1,1,1,1,1,1,6,5,6,7,6,5,6,5,5,4,1,1,5,5,6,6,6,6,6,6,8,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q21",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,2.88888888888889,5.5,6.5,5.5,5.5,4.5,5,6,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,5.5,6.5,4.5,5.5,1,NA,NA,NA,NA,NA,NA,5,6,6,7,6,2,NA,NA,NA,NA,NA,NA,-0.607249053807474,-1.06274471093224,-1.03168748749284
21,0,"1","","1",1,"",5,2,5,1,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,4,4,5,1,1,3,3,1,3,3,3,2,3,3,2,3,3,1,3,3,3,2,3,3,2,0,0,1,0,2,6,4,3,9,3,9,2,8,20,6,1,2,2,4,6,5,5,4,1,1,2,1,9,5,9,10,8,9,6,5,6,5,2,1,5,5,8,9,8,10,6,6,9,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,5,8,5,5,9,10,5,5,2,"q413",1,0,0,NA,0,0,0,0.333333333333333,0.0990990990990991,5.11111111111111,7,9.5,8.5,5.5,5.5,5,8.5,9,6,7,NA,NA,NA,NA,NA,10,6.5,5,9.5,5,1,7,8.5,9.5,5.5,5.5,2,10,5,6.5,5,9.5,2,5,9,8.5,7,6,1,NA,NA,NA,NA,NA,NA,0.824311170962742,0.129961155852817,-1.42573299699235
64,4,"1","","1",1,"",3,5,6,2,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,3,3,2,1,1,3,2,1,3,2,2,2,3,2,2,3,2,2,3,2,1,2,3,2,2,0,0,1,1,4,2,3,8,7,9,5,2,5,5,2,1,1,1,1,1,3,5,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,6,6,4,7,6,7,5,5,7,1,8,8,6,7,5,7,7,7,5,5,5,1,7,7,6,6,5,6,5,8,5,5,6,"q123",0,1,0,0,NA,0,0,0.25,0.0743243243243243,5,NA,NA,NA,NA,NA,8,6,5.5,6.5,5,8,6.5,6,7,5,7,6,5.5,6.5,5,2,NA,NA,NA,NA,NA,NA,7,5.5,6,5,6.5,6,8,5.5,6,5,6.5,7,8,6,6.5,5,7,5,-0.193436673967265,1.48851996194702,-3.39719885088262
69,4,"1","","1",1,"",6,3,6,5,NA,NA,"",NA,"",2,"",2,"",1,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",6,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,3,3,3,1,1,3,1,2,3,1,1,2,2,2,3,3,1,2,3,1,2,2,1,2,2,1,1,1,1,3,2,1,5,7,8,8,3,7,6,2,1,4,5,7,5,6,7,7,7,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,8,3,5,5,7,6,5,5,6,1,8,10,3,4,5,5,9,9,3,5,6,1,3,5,5,5,2,6,10,1,4,6,6,"q807",0,1,0,0,NA,0,0,0.25,0.0743243243243243,4.88888888888889,NA,NA,NA,NA,NA,5,5.5,5,6.5,5,9,3.5,5,9,4,4,5,4,5.5,5,4,NA,NA,NA,NA,NA,NA,4,4,5,5,5.5,6,5,5,5.5,5,6.5,6,9,5,3.5,4,9,6,-0.161648271724705,2.0758204127946,-0.731568265284378
34,2,"1","","1",1,"",5,3,6,1,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,5,4,2,1,1,3,3,3,3,3,3,3,3,2,2,3,1,1,2,2,2,2,2,2,2,1,1,1,1,2,9,7,8,7,8,7,5,7,20,4,3,7,7,7,7,7,7,7,7,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,4,6,8,6,5,6,4,5,2,1,8,5,5,5,7,8,7,8,4,4,2,1,8,7,3,2,9,9,2,9,3,2,2,"q485",0,1,0,0,NA,0,0,0.25,0.0743243243243243,6.66666666666667,NA,NA,NA,NA,NA,4.5,5,7,5.5,4.5,6.5,5,7.5,7.5,4,7.5,2.5,9,5.5,2.5,4,NA,NA,NA,NA,NA,NA,7.5,9,2.5,2.5,5.5,2,4.5,7,5,4.5,5.5,2,6.5,7.5,5,4,7.5,2,1.25432141602712,1.84979326716872,0.409050365328342
24,0,"0","","0",1,"",3,6,1,6,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,6,2,1,1,2,2,1,2,2,3,3,2,2,3,3,2,1,2,2,2,1,3,3,1,1,1,1,1,2,8,8,8,8,2,1,1,1,1,1,1,6,6,2,1,1,1,1,2,1,1,1,8,4,9,4,4,4,5,3,8,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,5,7,6,7,7,4,4,6,2,1,2,7,7,3,10,5,10,6,5,2,6,"q722",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.33333333333333,6,6.5,4,4,5.5,NA,NA,NA,NA,NA,4,6,6.5,5.5,5,4.5,5,7.5,8,3.5,4,NA,NA,NA,NA,NA,NA,4,6.5,6,5,5.5,2,6,4,6.5,5.5,4,2,4.5,7.5,5,3.5,8,6,-0.455820735760407,-1.08325515399064,-1.34892709531971
37,4,"0","","0",1,"",3,5,3,4,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,9,7,6,2,1,2,2,2,1,3,3,3,3,3,3,1,3,3,1,3,3,3,2,3,3,1,0,0,0,0,2,1,5,9,1,4,4,4,1,1,1,1,7,7,7,7,5,4,2,1,1,1,1,7,7,7,5,7,8,5,7,9,6,4,1,7,7,7,5,6,8,6,6,9,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q571",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,3.44444444444444,7,6,7.5,6,7.5,7,6,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,6,7,6,3,NA,NA,NA,NA,NA,NA,7,7.5,6,7.5,6,4,NA,NA,NA,NA,NA,NA,-0.455820735760407,-0.900552253346994,0.900387686496983
